"Aalto University"
"Aarhus University"
"Alliant International University"
"American University (AU)"
"Amherst College"
"Arizona State University (ASU)"
"Atatürk University"
"Baylor University"
"Binghamton University (SUNY)"
"Bocconi University"
"Boston College"
"Boston University"
"Brandeis University"
"Brigham Young University"
"Brown University"
"California Institute of Technology"
"California State University"
"Carleton University"
"Carnegie Mellon University"
"Central European University (CEU)"
"Chinese University of Hong Kong (CUHK)"
"City University of New York (CUNY)"
"Claremont Graduate University"
"Colorado State University"
"Columbia University"
"Concordia University"
"Cornell University"
"Dalhousie University"
"Duke University"
"Emory University"
"ETH Zurich"
"European Molecular Biology Laboratory (EMBL)"
"European University Institute (EUI)"
"Florida Atlantic University (FAU)"
"Florida International University (FIU)"
"Florida State University (FSU)"
"Fort Valley State University"
"Geneva Graduate Institute"
"George Mason University"
"George Washington University (GWU)"
"Georgetown University"
"Georgia Institute of Technology"
"Georgia State University"
"Harvard University"
"Hillsdale College"
"Illinois State University"
"Indiana University Bloomington (IU)"
"International Max Planck Research School (IMPRS)"
"Johns Hopkins University (JHU)"
"Kennesaw State University"
"Lancaster University"
"London School of Economics (LSE)"
"Louisiana State University"
"Massachusetts Institute of Technology (MIT)"
"McGill University"
"McMaster University"
"Miami University (OH)"
"National University of Singapore"
"New York University (NYU)"
"North Carolina Central University"
"Northeastern University"
"Northern Illinois University (NIU)"
"Northwestern University (NU)"
"Ohio State University (OSU)"
"Ohio University"
"Oklahoma State University"
"Old Dominion University"
"Ottawa University-Ottawa"
"Pasteur-Paris Univeristy"
"Pennsylvania State University (PSU)"
"Pompeu Fabra University (UPF)"
"Princeton University"
"Purdue University"
"Queen's University"
"Relay Graduate School of Education"
"Rice University"
"Richard Gilder Graduate School (AMNH)"
"Rutgers University"
"Simon Fraser University"
"Southern Illinois University"
"Stanford University"
"Stockholm University"
"Stony Brook University (SUNY)"
"Syracuse University"
"Teachers College, Columbia University"
"Temple University"
"Texas A&M University (TAMU)"
"Texas Tech University"
"The New School"
"Tufts University (FLETCHER)"
"Tulane University"
"Université De Montréal"
"Université Laval"
"University at Albany (SUNY)"
"University at Buffalo (SUNY)"
"University Canada West"
"University College Dublin"
"University College London"
"University of Alabama (UA)"
"University of Alberta"
"University of Arizona (UA)"
"University of British Columbia (UBC)"
"University of California (UNSPECIFIED)"
"University of California, Berkeley (UCB)"
"University of California, Davis (UCD)"
"University of California, Irvine (UCI)"
"University of California, Los Angeles (UCLA)"
"University of California, Merced (UCM)"
"University of California, Riverside (UCR)"
"University of California, San Diego (UCSD)"
"University of California, Santa Barbara (UCSB)"
"University of California, Santa Cruz (UCSC)"
"University of Cambridge"
"University of Central Florida (UCF)"
"University of Chicago (UCHICAGO)"
"University of Cincinnati"
"University of Colorado Boulder (CU BOULDER)"
"University of Connecticut (UCONN)"
"University of Delaware"
"University of Denver (KORBEL)"
"University of Edinburgh"
"University of Florida"
"University of Georgia (UGA)"
"University of Guelph"
"University of Houston"
"University of Illinois Chicago (UIC)"
"University of Illinois Urbana-Champaign (UIUC)"
"University of Iowa"
"University of Kansas"
"University of Kentucky"
"University of Manchester"
"University of Maryland, College Park (UMD)"
"University of Massachusetts"
"University of Massachusetts Amherst (UMASS)"
"University of Michigan (UMICH)"
"University of Minnesota"
"University of Mississippi"
"University of Missouri"
"University of Montreal"
"University of Nebraska-Lincoln"
"University of Nevada, Reno"
"University of New Mexico"
"University of North Carolina at Chapel Hill (UNC)"
"University of North Texas (UNT)"
"University of Notre Dame"
"University of Oklahoma"
"University of Oregon"
"University of Oslo"
"University of Ottawa"
"University of Oxford"
"University of Pennsylvania (UPENN)"
"University of Pittsburgh"
"University of Rochester"
"University of South Carolina (USC)"
"University of South Florida"
"University of Southern California (USC)"
"University of St Andrews"
"University of Tennessee (UTK)"
"University of Texas at Austin (UT AUSTIN)"
"University of Texas at Dallas"
"University of The Arts"
"University of Toronto (UOFT)"
"University of Utah"
"University of Victoria"
"University of Virginia (UVA)"
"University of Warwick"
"University of Washington (UW)"
"University of Western Ontario"
"University of Wisconsin-Madison (UW-MADISON)"
"Vanderbilt University"
"Washington State University (WSU)"
"Washington University in St. Louis"
"Wayne State University"
"Western Washington University"
"Wilson College"
"Yale University"
"York University"
